,log2FC_TE_v1,pvalue_v1,log2FC_TE_v2,pvalue_v2,log2FC_TE_final,pvalue_final,pvalue.adjust
aaaD,-2.58930696419964,0.11598999174209,-2.22243920117337,0.158847752114015,-2.22243920117337,0.158847752114015,0.400793529991693
aaaE,-0.684118440155732,0.571297171212565,-0.638620442137878,0.617111424878492,-0.638620442137878,0.617111424878492,0.818783121247845
aaeA,-1.69263713692457,0.212166083187375,-1.58670710829968,0.260397966348906,-1.58670710829968,0.260397966348906,0.522101407574588
aaeB,1.38152388780166,0.331134238630983,1.43454955602787,0.129214224420962,1.38152388780166,0.331134238630983,0.595753059393171
aaeR,-1.91645362889394,0.0178147386922485,-1.92706672516717,0.0169316009019313,-1.91645362889394,0.0178147386922485,0.0991334987335498
aaeX,-3.6741059114244,0.125963279334395,-3.91159138775853,0.12234025894043,-3.6741059114244,0.125963279334395,0.348923984034644
aas,0.318519677345287,0.64682894186831,0.325726882734374,0.682222462394118,0.325726882734374,0.682222462394118,0.857407320116089
aat,0.506134449256969,0.615372642439551,0.527491504349088,0.578412868329136,0.506134449256969,0.615372642439551,0.818776989920012
abgA,2.35047543020389,0.147365757797243,2.43671166060448,0.0662717311948627,2.35047543020389,0.147365757797243,0.381727235849947
abgB,0.705569147442143,0.593910977896166,0.721899508504574,0.48230424235716,0.705569147442143,0.593910977896166,0.807460792799891
abgR,2.43189386517552,0.0160016481772699,2.42801693054516,0.00682164595450317,2.43189386517552,0.0160016481772699,0.0932593145695292
abgT,4.7670348583529,0.00647762290536242,3.92345737454758,0.00208589412433016,4.7670348583529,0.00647762290536242,0.0509449618595075
abrB,2.20982013718507,0.115938121332297,2.26850390688847,0.0326995346938045,2.20982013718507,0.115938121332297,0.331057056003495
accA,-1.28193510901418,0.0559274486826707,-1.28866497571117,0.0445566437128216,-1.28193510901418,0.0559274486826707,0.208245086228235
accB,-1.43169549496144,0.0404598312420974,-1.43887038846652,0.0439489366648639,-1.43887038846652,0.0439489366648639,0.179313398704766
accC,0.997160116769987,0.165321345121044,0.997515126737623,0.111528900853469,0.997160116769987,0.165321345121044,0.410026331124233
accD,-0.772520499758856,0.22039604173677,-0.782655496832375,0.214214139497123,-0.772520499758856,0.22039604173677,0.48134717004227
aceA,-0.631032260267249,0.466342020947779,-0.612632943393859,0.463315850658632,-0.631032260267249,0.466342020947779,0.717676557768684
aceB,2.62631833277924,0.000990889481190333,2.62559174008688,0.000268385765829897,2.62631833277924,0.000990889481190333,0.0125888697471843
aceE,-1.12730688883782,0.194264499202528,-1.13153510288416,0.149359536692914,-1.12730688883782,0.194264499202528,0.446613651006256
aceF,-1.01010110492687,0.205367146684227,-1.00179481721101,0.139267457010329,-1.01010110492687,0.205367146684227,0.461852368550748
aceK,1.54000062556599,0.138862996266899,1.61300556089353,0.101788914133396,1.54000062556599,0.138862996266899,0.367071262218968
ackA,-0.371654718418418,0.627473499108606,-0.367731486472651,0.621794367532662,-0.371654718418418,0.627473499108606,0.82513027211613
acnA,-0.861685036826075,0.234407230874071,-0.877628571801988,0.240391496306688,-0.877628571801988,0.240391496306688,0.502061956626361
acnB,-0.0244417210433774,0.968781637407504,-0.0238411192509895,0.971953533146783,-0.0238411192509895,0.971953533146783,0.992867587468124
acpH,-2.72125967867536,0.00094145535123116,-2.69957784960136,0.000745122096194085,-2.72125967867536,0.00094145535123116,0.0121477160788546
acpP,-2.66853166514778,0.000133786274723739,-2.65730897580088,0.000109165200431822,-2.66853166514778,0.000133786274723739,0.00280407882403207
acpS,-0.811345588422941,0.389358901837402,-0.814942909773507,0.394761926161027,-0.814942909773507,0.394761926161027,0.653819491824661
acpT,-2.96550335538251,5.23929712027255e-05,-2.96191779714112,3.5538112535208e-05,-2.96550335538251,5.23929712027255e-05,0.00144220385397369
acrA,-0.946127233381698,0.164304837872384,-0.952586266086364,0.169807493582592,-0.952586266086364,0.169807493582592,0.415046205362003
acrB,0.14138539128987,0.844028338571099,0.145330005430936,0.82074528463808,0.14138539128987,0.844028338571099,0.938845099665967
acrD,1.17083280212278,0.239296247999606,1.20099939774114,0.158967537325417,1.17083280212278,0.239296247999606,0.500951062584622
acrE,-0.861885583462154,0.481138760198687,-0.474906560760473,0.753678957597615,-0.474906560760473,0.753678957597615,0.892952773578351
acrF,-6.43544036380159,0.0760345376682788,-6.37530733511456,0.0678169172983461,-6.43544036380159,0.0760345376682788,0.252856140244703
acrR,-2.33716626163217,0.00131741238302533,-2.32779991202661,0.000773009333444455,-2.33716626163217,0.00131741238302533,0.0155862341819816
acs,-0.990157012815255,0.348350712263858,-1.00857541964641,0.362138196689953,-1.00857541964641,0.362138196689953,0.624590064382965
actP,4.48329077036018,4.31124447600413e-05,4.58078919564026,3.14153193874559e-06,4.48329077036018,4.31124447600413e-05,0.00123618947509868
ada,0,0.978640112320888,0.0492602155539377,0.993288445036714,0.0492602155539377,0.993288445036714,0.996897189899023
add,-1.28152542870383,0.0594621405627784,-1.27918166254189,0.0488590103115911,-1.28152542870383,0.0594621405627784,0.217081501665528
ade,-1.18125818305096,0.126822882224882,-1.18726236763235,0.0886245161417559,-1.18125818305096,0.126822882224882,0.349800721914854
adhE,-0.357319577115983,0.691710909182498,-0.359721989172818,0.690736895132919,-0.357319577115983,0.691710909182498,0.861242546997149
adhP,-0.374414032660742,0.735041904603315,-0.292912714384812,0.833457854178565,-0.292912714384812,0.833457854178565,0.933849983339589
adiA,7.92984850545243,3.20255844784265e-08,7.90160612357636,3.76952612773678e-17,7.92984850545243,3.20255844784265e-08,4.89754215968234e-06
adiC,1.14854166988785,0.540335837851685,1.19034071953923,0.374959110546643,1.14854166988785,0.540335837851685,0.772790673532944
adiY,-2.82231354758436,0.0293001938186107,-2.77113518511271,0.0205202993326054,-2.82231354758436,0.0293001938186107,0.139218067062191
adk,1.24369869741,0.0620329432838949,1.23128629809667,0.0628619327238809,1.23128629809667,0.0628619327238809,0.224336145390583
adrA,-1.68689676723186,0.181362290310962,-1.63113390817189,0.0823382681757172,-1.68689676723186,0.181362290310962,0.430865878420002
adrB,1.71473381879643,0.566218801430302,1.52672948806639,0.190460795780945,1.71473381879643,0.566218801430302,0.790371004430601
