,log2FC_TE_v1,pvalue_v1,log2FC_TE_v2,pvalue_v2,log2FC_TE_final,pvalue_final,pvalue.adjust
aaaD,-3.57574106169245,0.0532146803558948,-2.58011501641397,0.0874965006760652,-2.58011501641397,0.0874965006760652,0.230308197460166
aaaE,-1.87684360884328,0.282577217054694,-2.05713423272025,0.191347315483965,-1.87684360884328,0.282577217054694,0.500451592687794
aaeA,-0.517123165034405,0.737659988168238,0.582303418792545,0.686702113978016,-0.517123165034405,0.737659988168238,0.873745263365738
aaeB,0.475844759200726,0.671676297160894,0.478084533964978,0.588503014069246,0.475844759200726,0.671676297160894,0.832506029947956
aaeR,-0.905562668366743,0.340040646988128,-0.950204810061894,0.278371939272696,-0.905562668366743,0.340040646988128,0.563279852630251
aas,2.29656790919335,0.00968765288127264,2.23520938189071,0.0123384845990069,2.23520938189071,0.0123384845990069,0.0567147257796638
aat,-1.07925439598634,0.221751700757267,-1.04720639379484,0.251309724672639,-1.04720639379484,0.251309724672639,0.46619586811532
abgA,1.44170598421965,0.224794110379801,1.51537969412647,0.179417169597899,1.44170598421965,0.224794110379801,0.43380449990544
abgB,0.216142921062987,0.820534996153097,0.213139922006855,0.785963901093563,0.216142921062987,0.820534996153097,0.923644176022614
abgR,0.428303131479119,0.669448328866215,0.374249083957078,0.678586779946164,0.374249083957078,0.678586779946164,0.83720123587223
abgT,3.96902977479714,0.000746688729303089,3.06994795671646,0.00852628732818451,3.06994795671646,0.00852628732818451,0.0435739868284093
abrB,1.57998573157467,0.22415870705981,1.59755012703353,0.131177185009676,1.57998573157467,0.22415870705981,0.4335157779301
accA,-1.48041334929589,0.0488523916201581,-1.46910165268137,0.0556678306545062,-1.46910165268137,0.0556678306545062,0.167086578277928
accB,-0.835454194181395,0.263302918956666,-0.847173477507829,0.260392362485571,-0.835454194181395,0.263302918956666,0.479412406956104
accC,0.490830219139,0.453875891238418,0.476928139804484,0.491414416102857,0.476928139804484,0.491414416102857,0.705881707702032
accD,-1.43007956105876,0.0481073163644246,-1.45602018440973,0.0570448806314479,-1.45602018440973,0.0570448806314479,0.169449416469485
aceA,-2.47300022280827,0.00236276586308788,-2.45669840084193,0.00353275868315418,-2.45669840084193,0.00353275868315418,0.0225960339149337
aceB,-0.250473643717678,0.707041797752641,-0.255278432969344,0.717989733868049,-0.255278432969344,0.717989733868049,0.862892483171558
aceE,-0.985893012159572,0.294764270382838,-0.992873932945121,0.273292470245461,-0.985893012159572,0.294764270382838,0.51500516745429
aceF,-0.361785852391222,0.638255738328425,-0.335471518310444,0.629681535946819,-0.361785852391222,0.638255738328425,0.810822672001555
aceK,1.71258187031862,0.0406027256017515,1.7576677743601,0.0468162823310783,1.7576677743601,0.0468162823310783,0.148031646782774
ackA,-2.14432057099066,0.00955181986539349,-2.15135243680078,0.00743479054030127,-2.14432057099066,0.00955181986539349,0.0475463112606592
acnA,-2.57605627413589,0.000959418478733683,-2.59486091160619,0.00142157113981282,-2.59486091160619,0.00142157113981282,0.0112329255880691
acnB,2.51593765119079,0.000899644246238602,2.5229852702121,0.00340215387048177,2.5229852702121,0.00340215387048177,0.0219286263895476
acpH,-1.05927278866789,0.239672203197576,-1.08349823962506,0.177420866659519,-1.05927278866789,0.239672203197576,0.451081703912331
acpP,-2.69472589399871,0.00163844015132271,-2.70545428394995,0.00270177298214429,-2.70545428394995,0.00270177298214429,0.018141120090458
acpS,0.375009479498033,0.754771828416821,0.246959597476263,0.839472912388858,0.246959597476263,0.839472912388858,0.93300206324183
acpT,-1.58198308435657,0.0395342231255689,-1.59198117310889,0.0279819756747441,-1.58198308435657,0.0395342231255689,0.132285062737968
acrA,-0.477371548658589,0.539706869271608,-0.507696001496613,0.509239132267694,-0.477371548658589,0.539706869271608,0.742373812657458
acrB,1.44185166567841,0.0905331211211867,1.4041229574785,0.0538890328903317,1.44185166567841,0.0905331211211867,0.23684315450513
acrD,2.37556709765382,0.0515008733649472,2.34800856557358,0.00938132267624932,2.37556709765382,0.0515008733649472,0.158240269422321
acrE,-0.838018980735285,0.494340145465255,0,0.984731590073354,0,0.984731590073354,0.993345494885763
acrF,-10.3469905035877,0.00587380324003615,-10.4619217889703,0.00537641464007921,-10.3469905035877,0.00587380324003615,0.0330874462625006
acrR,-2.56001188906512,0.00456657259375944,-2.58502282644043,0.000936744783638024,-2.56001188906512,0.00456657259375944,0.0272632103819901
acs,-3.48926484062009,0.0011572961593088,-3.46138520327869,0.00188957820391478,-3.46138520327869,0.00188957820391478,0.0139961022765106
actP,5.02769364493875,1.35203693326742e-06,5.0774723474646,2.45678851962093e-07,5.02769364493875,1.35203693326742e-06,5.19778362500057e-05
ada,-1.8867185987385,0.0456309453974866,-1.83860740961706,0.082655046184738,-1.83860740961706,0.082655046184738,0.222015717686274
add,-3.39406812308792,4.8252374700882e-06,-3.39214917408249,5.3789647037498e-06,-3.39214917408249,5.3789647037498e-06,0.000154529971703441
ade,0.314207804374217,0.719139517019554,0.276123861405579,0.706342148910509,0.314207804374217,0.719139517019554,0.863396757448551
adhE,-2.48266132822515,0.00666084489710819,-2.48954158211939,0.00964070873713634,-2.48954158211939,0.00964070873713634,0.0478702846182252
adhP,-3.75460973146716,3.0640139819073e-05,-3.65823025564145,0.00214916452628188,-3.65823025564145,0.00214916452628188,0.0153533565270084
adiA,5.533052779937,8.09410134112346e-08,5.51748135579495,4.36690874760878e-10,5.533052779937,8.09410134112346e-08,6.51089511879971e-06
adiC,0.893237808271675,0.479864115779709,0.945131607358189,0.40411801618298,0.893237808271675,0.479864115779709,0.696504321063151
adiY,-2.60069513190521,0.229656492586696,2.17162559561689,0.140836846461815,-2.60069513190521,0.229656492586696,0.439428360220594
adk,2.33800487736977,0.000687239140083158,2.31878562420614,0.00162227242429494,2.31878562420614,0.00162227242429494,0.0124788073588808
adrA,-3.41850530053746,0.00622855693577206,-3.41784707662236,0.0012509203462398,-3.41850530053746,0.00622855693577206,0.0345058622529962
adrB,-1.37384153482234,0.145035480158118,-1.61139790332631,0.17810536773813,-1.61139790332631,0.17810536773813,0.372444223694142
aegA,1.76079406403042,0.103248552438474,1.76289520077436,0.0643247433863498,1.76079406403042,0.103248552438474,0.258732509599715
aer,0.893014702174767,0.489635987258749,0.853224424689142,0.448193910392447,0.893014702174767,0.489635987258749,0.704243028057532
aes,0.692763743450302,0.504505739533837,0.672415983838734,0.547998970492585,0.672415983838734,0.547998970492585,0.748852788765953
afuC,-1.82214888041667,0.216677473778315,-1.8803008933702,0.192142785186078,-1.82214888041667,0.216677473778315,0.425525781023625
agaA,1.93935225284315,0.189083416727195,1.57150010102611,0.135133093358,1.93935225284315,0.189083416727195,0.386429625039012
agaB,0.825485622324734,0.844193110100452,5.19699803842046,0.0169729712661247,0.825485622324734,0.844193110100452,0.935614408604028
agaD,-0.714471118847975,0.601447624292117,-1.00511473453974,0.463132685094108,-0.714471118847975,0.601447624292117,0.782626100864139
agaI,1.28131482558189,0.536018603192071,2.05013392020619,0.174644535708064,1.28131482558189,0.536018603192071,0.740338881194543
agaR,-1.50720143859247,0.0693116996272098,-1.5472415136833,0.0632789143744046,-1.50720143859247,0.0693116996272098,0.195102192104655
agaS,2.79963743823691,0.070532324979251,2.80928476130134,0.0103901263545481,2.79963743823691,0.070532324979251,0.197411977081801
agaV,-2.80632046283892,0.236222679440105,-2.99873241015439,0.204802188169787,-2.80632046283892,0.236222679440105,0.447310554005699
agaW,3.25733083814723,0.0941755810620005,2.56909234899714,0.0577006718422918,3.25733083814723,0.0941755810620005,0.242356398652039
agp,-2.33832500788651,0.00429548399663793,-2.35361817160128,0.00725791306080685,-2.35361817160128,0.00725791306080685,0.0389217684407536
ahpC,-3.35784459686283,2.83003275579433e-05,-3.36809481181948,3.85435092739321e-05,-3.36809481181948,3.85435092739321e-05,0.000721032531626767
ahpF,-1.46058611052272,0.0909911293615989,-1.4544598199838,0.0953383967302732,-1.4544598199838,0.0953383967302732,0.244860173466896
aidB,-1.47459491072696,0.0669608060787194,-1.41140831919551,0.151009321871598,-1.41140831919551,0.151009321871598,0.333714006905256
ais,3.34022290939086,0.25564500439556,4.54802427184429,8.76429257089175e-07,3.34022290939086,0.25564500439556,0.471220993436729
alaA,1.75772547220396,0.0459461645904693,1.71699764766756,0.0339838746505389,1.75772547220396,0.0459461645904693,0.146892798771175
alaC,2.55651991102714,0.000470047171732474,2.56008082782872,0.000602732938506389,2.56008082782872,0.000602732938506389,0.00574453051818174
alaE,-1.13306506457023,0.261731663365208,-1.07492749281905,0.331051843253728,-1.07492749281905,0.331051843253728,0.553988585565818
alaS,0.0819722557572051,0.908170199391353,0.0811714541364688,0.904887147332609,0.0819722557572051,0.908170199391353,0.962239341926243
aldA,-1.5686058007393,0.0730693081546396,-1.56542235086312,0.0970155206132759,-1.56542235086312,0.0970155206132759,0.24758656339251
aldB,-4.00040548282192,9.65049104352255e-07,-3.9195080253779,3.44001872595424e-05,-3.9195080253779,3.44001872595424e-05,0.000662328227134901
alkA,2.66210092014144,0.00310339901016087,2.71552293332736,0.00494927711951255,2.71552293332736,0.00494927711951255,0.0288911358123069
alkB,-1.64663928282909,0.152434925732788,-1.56685235896749,0.248247648336736,-1.56685235896749,0.248247648336736,0.462460417605535
allA,2.01091929554117,0.346254167866481,3.25460773468186,0.0445929692731939,2.01091929554117,0.346254167866481,0.569584565709197
allB,-1.19097605078408,0.300860356437272,-1.19772465436936,0.258470207887708,-1.19097605078408,0.300860356437272,0.522253065857016
allC,1.25925114278785,0.329826175130166,1.26525573292641,0.230049123999856,1.25925114278785,0.329826175130166,0.55250348870201
allD,1.09991180043823,0.656773936456668,1.87025295793984,0.11606140754359,1.09991180043823,0.656773936456668,0.823378410693435
allR,1.70418682008903,0.00805407566273104,1.71960223711344,0.015939579425433,1.71960223711344,0.015939579425433,0.0682007606077982
allS,0.273580216292899,0.981532594968743,0.879919720182166,0.599547619922641,0.273580216292899,0.981532594968743,0.992638696747368
alr,1.8751984523695,0.0338812527738699,1.83972255658625,0.0206392419201349,1.8751984523695,0.0338812527738699,0.117373297723088
alsA,2.34798365746957,0.253543522201198,1.94380617903968,0.173308081932783,2.34798365746957,0.253543522201198,0.468636050686221
alsB,-0.662636830765997,0.715388150871676,0.0685976316099648,0.948314100962047,0.0685976316099648,0.948314100962047,0.979194095305691
alsC,0.80744871450459,0.466925719103322,0.601586433558865,0.581533056375439,0.601586433558865,0.581533056375439,0.770651055269197
alsE,0.60399543422983,0.700019097664732,0.502250270905073,0.717842772747915,0.502250270905073,0.717842772747915,0.862892483171558
alsK,2.04983663735688,0.244051863534835,1.95253644138152,0.119868731511837,2.04983663735688,0.244051863534835,0.456547253552143
