Locations correspond to U00096.2 reference genome,,,,,,,,,,,,,,
NUM,Operon,Promoters,Terminators,TU count,TU,STRAND,GENE CNT,RegulonDB operon,Operon mismatches,GENES,WT_LOG,WT_STAT,WT_LOG,WT_STAT
1,,,,,P-114:T-5057,+,4,,,thrL-thrA-thrB-thrC,11.6,6.7,100,91
2,P-114:T-5484,2,2,4,P-114:T-5484,+,4,thrLABC,0,thrL-thrA-thrB-thrC,11.1,6.1,100,83.8
3,,,,,S-147:T-5057,+,4,,,thrL-thrA-thrB-thrC,11.6,6.6,100,91
4,,,,,S-147:T-5484,+,4,,,thrL-thrA-thrB-thrC,11.2,6.1,100,83.7
5,T-5599:P-8015,1,1,1,T-5599:P-8015,-,2,yaaJ:yaaA,1,yaaJ-yaaA,2.6,3.8,55.8,66.5
6,,,,,P-8192:T-9203,+,1,,,talB,10.3,7.6,100,99.3
7,P-8192:T-10325,1,2,2,P-8192:T-10325,+,2,talB:mog,1,talB-mog,7.5,5.9,100,85.4
8,T-9930:P-10564,1,1,1,T-9930:P-10564,-,,,,,5,4.5,98.4,70.9
9,P-12049:T-15512,2,1,2,P-12049:T-15512,+,2,dnaK-tpke11-dnaJ,0,dnaK-dnaJ,11.1,7.1,100,92.6
10,,,,,S-12122:T-15512,+,2,,,dnaK-dnaJ,11.1,7.2,100,92.9
11,T-16588:P-17228,1,1,1,T-16588:P-17228,-,2,mokC-hokC,0,mokC-hokC,3.5,6.1,99.8,85.6
12,P-16953:T-17000,1,1,1,P-16953:T-17000,+,1,sokC,0,sokC,4.8,,100,
13,,,,,P-17311:T-18699,+,1,,,nhaA,6.7,8.7,92.7,97.8
14,P-17311:T-19796,1,2,2,P-17311:T-19796,+,2,nhaAR,0,nhaA-nhaR,6,8.1,95.7,98.1
15,,,,,T-20776:S-21118,-,1,,,rpsT,12.2,8.7,100,94.8
16,T-20776:P-21207,2,1,2,T-20776:P-21207,-,1,rpsT,0,rpsT,11.9,7.9,100,90.3
17,,,,,P-21008:T-25760,+,4,,,yaaY-ribF-ileS-lspA,9.1,6.1,97.9,93.2
18,P-21008:T-27258,3,2,6,P-21008:T-27258,+,6,ribF-ileS-lspA-fkpB-ispH,0,yaaY-ribF-ileS-lspA-fkpB-ispH,9,6,98.2,92.9
19,,,,,I-21384:T-25760,+,3,,,ribF-ileS-lspA,9.7,6.2,100,94.2
20,,,,,I-21384:T-27258,+,5,,,ribF-ileS-lspA-fkpB-ispH,9.3,6,99.8,93.7
21,,,,,I-21835:T-25760,+,2,,,ileS-lspA,9.8,6.3,100,94.7
22,,,,,I-21835:T-27258,+,4,,,ileS-lspA-fkpB-ispH,9.4,6.1,99.8,94
23,,,,,P-28288:T-29277,+,1,,,dapB,9.7,5.8,100,85.1
24,P-28288:T-29485,2,2,4,P-28288:T-29485,+,1,dapB,0,dapB,8.7,4.8,99.6,70.3
25,,,,,S-28344:T-29277,+,1,,,dapB,9.9,6.2,100,90.1
26,,,,,S-28344:T-29485,+,1,,,dapB,8.8,5.1,99.6,73.7
27,,,,,P-29552:T-34087,+,2,,,carA-carB,10,1.1,99.8,20.3
28,P-29552:T-34831,1,2,2,P-29552:T-34831,+,3,caiF:carAB,1,carA-carB-caiF,9.4,1.6,99.9,27.8
29,T-33723:AS-34027,1,1,1,T-33723:AS-34027,-,,,,,0.2,5.7,15.7,98
30,,,,,P-49789:T-50353,+,1,,,folA,7,8,100,100
31,P-49789:T-50582,1,2,2,P-49789:T-50582,+,1,folA,0,folA,6.3,6.6,100,87.4
32,,,,,T-50131:I-52587,-,3,,,rsmA-apaG-apaH,6.6,6.3,100,85.2
33,T-50131:P-57252,2,3,5,T-50131:P-57252,-,6,lptD-surA-pdxA-rsmA-apaGH,0,lptD-surA-pdxA-rsmA-apaG-apaH,7.9,7.5,100,88
34,,,,,T-50354:I-52587,-,3,,,rsmA-apaG-apaH,6.8,6.5,100,86.5
35,,,,,T-50354:P-57252,-,6,,,lptD-surA-pdxA-rsmA-apaG-apaH,8,7.6,100,88.5
36,,,,,T-53298:P-57252,-,2,,,lptD-surA,8.9,9.4,100,100
37,P-57327:T-59929,1,1,1,P-57327:T-59929,+,2,djlA:yabPQ,1,djlA-yabP,5.2,5.4,93.9,78.7
38,,,,,T-59641:I-63449,-,2,,,rapA-rluA,5.8,6.6,96.9,93.3
39,T-59641:P-65802,2,1,2,T-59641:P-65802,-,3,hepA-rluA:polB,1,polB-rapA-rluA,4.6,5.5,88.9,82.2
40,P-70222:T-72117,1,1,1,P-70222:T-72117,+,2,yabI:araC,1,araC-yabI,5.9,8.6,99,100
41,T-72164:P-77338,1,1,1,T-72164:P-77338,-,4,sgrR-sroA-tbpA-thiPQ,0,sgrR-thiB-thiP-thiQ,4.9,1,96.7,18.3
42,,,,,P-77368:T-77593,+,2,,,sgrS-sgrT,4.8,9.2,97.8,100
43,P-77368:T-78965,1,2,2,P-77368:T-78965,+,2,sgrST-setA,0,sgrT-setA,4.7,3.4,97.9,48.7
44,T-78734:P-83735,1,3,3,T-78734:P-83735,-,5,leuLABCD,0,leuL-leuA-leuB-leuC-leuD,9.7,6.9,100,94.9
45,,,,,T-78835:P-83735,-,5,,,leuL-leuA-leuB-leuC-leuD,9.8,7.1,100,96.9
46,,,,,T-83597:P-83735,-,1,,,leuL,10.1,12.3,100,100
47,,,,,P-85600:T-87872,+,2,,,ilvI-ilvH,9.4,5.8,100,88.7
48,P-85600:T-89330,1,2,2,P-85600:T-89330,+,3,ilvIH,0,ilvI-ilvH-fruR,8.5,6,98.6,88.4
49,,,,,P-89363:T-107539,+,16,,,mraZ-rsmH-ftsL-ftsI-murE-murF-mraY-murD-ftsW-murG-murC-ddlB-ftsQ-ftsA-ftsZ-lpxC,8.3,7.7,100,96.7
50,,,,,P-89363:T-111016,+,18,,,mraZ-rsmH-ftsL-ftsI-murE-murF-mraY-murD-ftsW-murG-murC-ddlB-ftsQ-ftsA-ftsZ-lpxC-secM-secA,8.4,7.4,100,96.3
51,P-89363:T-111873,7,3,20,P-89363:T-111873,+,19,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC:secMA-mutT,1,mraZ-rsmH-ftsL-ftsI-murE-murF-mraY-murD-ftsW-murG-murC-ddlB-ftsQ-ftsA-ftsZ-lpxC-secM-secA-mutT,8.2,7.1,99.5,92.6
52,,,,,S-89590:T-107539,+,16,,,mraZ-rsmH-ftsL-ftsI-murE-murF-mraY-murD-ftsW-murG-murC-ddlB-ftsQ-ftsA-ftsZ-lpxC,8.3,7.7,100,97.6
53,,,,,S-89590:T-111016,+,18,,,mraZ-rsmH-ftsL-ftsI-murE-murF-mraY-murD-ftsW-murG-murC-ddlB-ftsQ-ftsA-ftsZ-lpxC-secM-secA,8.4,7.5,100,97.1
54,,,,,S-89590:T-111873,+,19,,,mraZ-rsmH-ftsL-ftsI-murE-murF-mraY-murD-ftsW-murG-murC-ddlB-ftsQ-ftsA-ftsZ-lpxC-secM-secA-mutT,8.2,7.2,99.5,93.4
55,,,,,I-102873:T-107539,+,4,,,ftsQ-ftsA-ftsZ-lpxC,9.9,9.9,100,100
56,,,,,I-102873:T-111016,+,6,,,ftsQ-ftsA-ftsZ-lpxC-secM-secA,9.4,8.3,100,97.5
57,,,,,I-102873:T-111873,+,7,,,ftsQ-ftsA-ftsZ-lpxC-secM-secA-mutT,8.9,7.5,98.7,88.3
58,,,,,I-104694:T-107539,+,2,,,ftsZ-lpxC,10.6,10.5,100,100
59,,,,,I-104694:T-111016,+,4,,,ftsZ-lpxC-secM-secA,9.6,8.1,100,96.8
60,,,,,I-104694:T-111873,+,5,,,ftsZ-lpxC-secM-secA-mutT,8.9,7.2,98.4,85.4
61,,,,,S-106503:T-107539,+,1,,,lpxC,10.9,10.8,100,100
62,,,,,S-106503:T-111016,+,3,,,lpxC-secM-secA,9.3,7.2,100,95.6
63,,,,,S-106503:T-111873,+,4,,,lpxC-secM-secA-mutT,8.4,6.1,97.8,80.5
